w,l,nf,flavor,vd,mean_rel_error,vth_error,vth,ion,ioff,peak_gm
8e-07,9e-08,2,2,0.0,1.9999975636277139,-0.07587753365450411,0.579386512503572,2.452579e-07,1.1199640000000001e-07,6.939866666666667e-07
8e-07,6e-08,1,4,0.0,1.9999975611938252,-0.12245529999535965,0.5783270912344509,1.7420070000000006e-07,1.1262100000000005e-07,4.231413333333335e-07
8e-07,4e-08,1,4,0.0,1.9999975532953487,0.029362391163435697,0.4212011180218068,2.011127e-07,1.1161399999999998e-07,
8e-07,3e-08,1,4,0.0,1.9999975532953487,0.029362391163435697,0.4212011180218068,2.011127e-07,1.1161399999999998e-07,
8e-07,6e-08,2,5,0.0,1.999997552014356,0.4836262188597902,0.009976202793588795,3.083388e-07,1.0968440000000005e-07,6.552863333333334e-07
8e-07,9e-08,2,5,0.0,1.9999975010513222,-0.07496391604382069,0.5784728948928886,2.2447640000000005e-07,1.0928300000000001e-07,6.043610000000002e-07
8e-07,3e-08,8,1,0.0,1.9999973548255767,0.5056123300100462,0.011438467113548883,7.71284965e-07,1.0734820000000005e-07,
8e-07,4e-08,8,1,0.0,1.9999973548255767,0.5056123300100462,0.011438467113548883,7.71284965e-07,1.0734820000000005e-07,
1.6e-06,9e-08,2,1,0.0,1.9999973296723674,0.40590031893650236,0.10638652935824576,4.6410200000000004e-07,1.087171e-07,1.058218e-06
4e-07,6e-08,2,0,0.0,1.9999971898920739,-0.11300853603213912,0.589568331434782,1.430107e-07,1.029152e-07,4.2775066666666674e-07
1e-07,3e-08,8,0,0.0,1.9999971171761242,0.2,0.3,2.065015e-07,1.0326640000000001e-07,
1e-07,4e-08,8,0,0.0,1.9999971171761242,0.2,0.3,2.065015e-07,1.0326640000000001e-07,
2e-07,6e-08,8,4,0.0,1.9999971043413067,0.24055312085442151,0.2402256667217765,3.916763e-07,1.1224550000000005e-07,5.459086666666665e-07
3e-06,6e-08,1,1,0.0,1.999997074668692,0.46600995454043515,0.046580980571686054,5.112055e-07,1.0840430000000005e-07,1.0237546666666663e-06
1.6e-06,3e-08,1,5,0.0,1.999996896884031,0.45865512575306977,0.02385747726881332,3.328707000000001e-07,1.088770000000001e-07,
1.6e-06,4e-08,1,5,0.0,1.999996896884031,0.45865512575306977,0.02385747726881332,3.328707000000001e-07,1.088770000000001e-07,
1.6e-06,4e-08,1,2,0.0,1.999996882927484,0.31619713490790347,0.1663154681139796,3.7516400000000004e-07,1.1086400000000005e-07,
1.6e-06,3e-08,1,2,0.0,1.999996882927484,0.31619713490790347,0.1663154681139796,3.7516400000000004e-07,1.1086400000000005e-07,
8e-07,6e-08,8,1,0.0,1.9999967942016676,0.5003195912485763,0.013346615693021275,7.453133600000001e-07,1.0834920000000005e-07,1.0730147666666665e-06
1.6e-06,6e-08,1,2,0.0,1.9999967412269655,0.09255233479443237,0.4002948791771751,3.352583e-07,1.1080410000000001e-07,7.92729e-07
4e-07,4e-08,2,0,0.0,1.999996730793709,-0.09462169928502379,0.5400841105678829,1.874191000000001e-07,1.026670000000001e-07,
4e-07,3e-08,2,0,0.0,1.999996730793709,-0.09462169928502379,0.5400841105678829,1.874191000000001e-07,1.026670000000001e-07,
4e-07,9e-08,4,4,0.0,1.9999966645293668,0.31522037119490653,0.17452103035686348,3.202056e-07,1.1243660000000009e-07,6.35543e-07
1.6e-06,6e-08,1,5,0.0,1.9999966423776092,0.2713065549204705,0.22154065905113698,3.043599e-07,1.0966070000000005e-07,6.823680000000001e-07
4e-07,9e-08,8,2,0.0,1.9999964412186737,0.49000131369225913,0.014083238941068736,4.984358e-07,1.1051460000000009e-07,8.940266666666663e-07
1.6e-06,4e-08,4,1,0.0,1.9999964185070112,0.5033856890668156,0.012962659339902103,7.65673269e-07,1.0863430000000005e-07,
1.6e-06,3e-08,4,1,0.0,1.9999964185070112,0.5033856890668156,0.012962659339902103,7.65673269e-07,1.0863430000000005e-07,
4e-07,6e-08,8,2,0.0,1.9999963966502265,0.4728521483684836,0.02161545405884968,5.807612e-07,1.1052000000000009e-07,8.175763333333331e-07
4e-07,9e-08,8,5,0.0,1.9999963830855363,0.49885570246528976,0.005228850168038099,4.5229270000000004e-07,1.0987540000000004e-07,8.105136666666665e-07
1.6e-06,9e-08,1,2,0.0,1.9999963466330142,-0.07254025435470424,0.5746997619387783,2.626793e-07,1.1096020000000005e-07,7.235293333333334e-07
4e-07,4e-08,8,2,0.0,1.9999963423317693,0.3089820499618279,0.19101795003817212,6.087891000000001e-07,1.1000990000000002e-07,
4e-07,3e-08,8,2,0.0,1.9999963423317693,0.3089820499618279,0.19101795003817212,6.087891000000001e-07,1.1000990000000002e-07,
4e-07,6e-08,8,5,0.0,1.9999962939779148,0.41486202662687255,0.07960557580046071,5.191207e-07,1.0942030000000001e-07,7.063881666666665e-07
8e-07,9e-08,8,1,0.0,1.999996289869459,0.49579900537324884,0.016858345644841132,6.9338517e-07,1.0835019999999997e-07,9.869255666666666e-07
